ticker,mu,sigma,lambda,m,delta
TQQQ,0.16475249233731795,0.13190198548449864,15.0000007,-0.009257389352546063,0.022111846756732063
SOXL,0.05666801266112418,0.2356252713412519,15.0000007,-0.01316256835552549,0.040331913371479955
SPXL,0.10708741791297156,0.0978251421727245,15.0000007,-0.005572969185336805,0.018527315945580335
UPRO,0.10820131444567273,0.09860059864439533,15.0000007,-0.005577891345380181,0.018538176408803918
TECL,0.17896964216895397,0.15839588911380112,15.0000007,-0.011070786007102977,0.026093559836149704
SQQQ,-0.11904188063632175,0.1775405839123725,2.529684784700955,-0.0025709702562152,0.052953637103840524
FAS,0.1582000834583883,0.11508044588980082,9.167264832396048,-0.007037741797746542,0.02513128820343831
TNA,-0.0003285187469386632,0.15548819074924314,10.619633200310606,-0.007033535571270467,0.02460797112868348
SOXS,-0.07993961929714703,0.24428728024146348,14.526633454583308,-0.0008638416619197944,0.044105061388123507
YINN,0.3,0.19273291228235734,11.8225564825004,-0.0003091661372702941,0.03965932684392312
DPST,0.12995721532521973,0.19339933712727225,8.170282880352733,-0.008260107886551476,0.038964802017433575
LABU,-0.13341693386601297,0.2149503738326799,3.2415481815133416,-0.04002289630192998,0.006128989667157178
NUGT,0.19101868584753112,0.16844666814699136,6.877413464088486,-0.005474471491098782,0.022581761732702533
SPXS,-0.09062624460289054,0.10175368617985021,15.0000007,0.0023673996592910446,0.019087140189163226
NAIL,-0.13605994436887836,0.251433394989768,1e-06,0.00015218120712756487,0.1260229017832402
DFEN,0.3,0.13380243239074555,11.537568024686074,-0.007604061600379278,0.023549258685099557
FNGU,0.1910700436892015,0.18430657532683672,15.0000007,-0.007351326741849262,0.03437409565941531
VXX,0.1101475040336049,0.14722757590854169,15.0000007,0.007935836195622853,0.03147133413722314
VIXY,0.1073963287368391,0.14574786094936426,15.0000007,0.008029124643200823,0.03230391339495365
VIXM,0.07944260415105242,0.06962555739818216,15.0000007,0.0030748313807518034,0.015721219217602073
SPHB,0.06450300728668913,0.05883664472727076,15.0000007,-0.0030534064637550845,0.009613276161164619
HIBL,0.1571737195275884,0.173316431976379,15.0000007,-0.01162036002606244,0.029067851450278917
HIBS,-0.13784931788492705,0.21584493900429189,3.4760127534895546,-0.002448753767911154,0.06031008615857698
TSLA,0.1646708589937924,0.17243902681717083,6.990348086953822,0.0013764146074025936,0.02766401006261365
NVDA,0.1667905408775112,0.11764970288802058,15.0000007,-0.005516138325959144,0.016263036006673903
AMD,0.037006792093567074,0.14324365953369517,0.3012037315383421,0.06437279208782838,1e-06
